Latitude (decimal degrees):	3.156
Longitude (decimal degrees):	101.691
Elevation (m):	66
Radiation database:	PVGIS-ERA5


Slope: 0 deg. (optimum)
Azimuth: -1 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0

P: PV system power (W)
G(i): Global irradiance on the inclined plane (plane of the array) (W/m2)
H_sun: Sun height (degree)
T2m: 2-m air temperature (degree Celsius)
WS10m: 10-m total wind speed (m/s)
Int: 1 means solar radiation values are reconstructed



PVGIS (c) European Union, 2001-2026

time,P,G(i),H_sun,T2m,WS10m,Int
20230418:2030,0.0,0.0,0.0,24.67,0.9,0.0
20230418:2130,0.0,0.0,0.0,24.73,0.83,0.0
20230418:2230,0.0,0.0,0.0,24.71,0.9,0.0
20230418:2330,11.47,26.85,4.8,24.49,1.03,0.0
20230419:0030,163.3,230.7,19.59,25.17,0.62,0.0
20230419:0130,334.78,444.89,34.29,27.6,0.41,0.0
20230419:0230,483.31,648.83,48.92,28.82,0.55,0.0
20230419:0330,596.19,813.62,63.34,29.81,1.03,0.0
20230419:0430,608.4,825.83,76.74,30.53,1.72,0.0
20230419:0530,613.66,828.08,80.89,30.78,2.28,0.0
20230419:0630,557.92,741.07,69.21,30.18,2.07,0.0
20230419:0730,473.92,630.52,55.02,30.18,1.24,0.0
20230419:0830,347.78,459.23,40.45,30.47,1.45,0.0
20230419:0930,232.65,317.72,25.77,28.83,1.24,0.0
20230419:1030,48.56,91.91,11.05,28.82,0.69,0.0
20230419:1130,0.0,0.0,-3.65,28.09,0.69,0.0
20230419:1230,0.0,0.0,0.0,27.01,1.17,0.0
20230419:1330,0.0,0.0,0.0,26.5,1.17,0.0
20230419:1430,0.0,0.0,0.0,26.0,1.45,0.0
20230419:1530,0.0,0.0,0.0,25.71,0.9,0.0
20230419:1630,0.0,0.0,0.0,25.23,1.17,0.0
20230419:1730,0.0,0.0,0.0,24.9,0.69,0.0
20230419:1830,0.0,0.0,0.0,24.65,0.48,0.0
20230419:1930,0.0,0.0,0.0,24.92,0.62,0.0
20230419:2030,0.0,0.0,0.0,24.6,0.55,0.0
20230419:2130,0.0,0.0,0.0,24.44,0.28,0.0
20230419:2230,0.0,0.0,0.0,24.33,0.48,0.0
20230419:2330,4.0,14.55,4.87,24.38,0.69,0.0
20230420:0030,68.66,103.8,19.64,24.47,0.69,0.0
20230420:0130,161.62,219.25,34.32,25.01,0.48,0.0
20230420:0230,298.09,393.28,48.93,25.91,0.41,0.0
20230420:0330,353.76,473.14,63.3,27.17,0.21,0.0
20230420:0430,366.73,488.94,76.57,28.16,1.03,0.0
20230420:0530,444.6,593.88,80.56,28.77,1.52,0.0
20230420:0630,315.08,419.49,69.03,29.19,1.86,0.0
20230420:0730,196.72,265.7,54.9,28.46,2.07,0.0
20230420:0830,228.47,304.49,40.36,28.13,1.93,0.0
20230420:0930,137.33,191.39,25.7,28.18,2.0,0.0
20230420:1030,47.01,79.69,11.0,27.83,2.21,0.0
20230420:1130,0.0,0.0,-3.68,27.18,1.86,0.0
20230420:1230,0.0,0.0,0.0,26.49,1.59,0.0
20230420:1330,0.0,0.0,0.0,25.97,1.03,0.0
20230420:1430,0.0,0.0,0.0,25.47,0.62,0.0
20230420:1530,0.0,0.0,0.0,25.07,0.48,0.0
20230420:1630,0.0,0.0,0.0,24.55,0.83,0.0
20230420:1730,0.0,0.0,0.0,24.25,1.03,0.0
20230420:1830,0.0,0.0,0.0,23.99,0.97,0.0
20230420:1930,0.0,0.0,0.0,24.01,0.83,0.0
20230420:2030,0.0,0.0,0.0,23.76,0.83,0.0
20230420:2130,0.0,0.0,0.0,23.73,0.97,0.0
20230420:2230,0.0,0.0,0.0,23.62,1.24,0.0
20230420:2330,9.69,24.0,4.94,23.38,1.24,0.0
20230421:0030,167.79,235.89,19.69,24.02,0.97,0.0
20230421:0130,352.41,465.62,34.35,26.62,0.41,0.0
20230421:0230,488.92,652.41,48.93,28.39,0.62,0.0
20230421:0330,565.7,757.27,63.25,29.55,1.52,0.0
20230421:0430,679.81,926.66,76.4,30.01,1.93,0.0
20230421:0530,609.22,814.52,80.23,30.4,2.41,0.0
20230421:0630,583.01,770.02,68.85,29.1,2.41,0.0
20230421:0730,552.37,729.85,54.78,30.76,2.83,0.0
20230421:0830,331.22,434.43,40.27,30.7,2.55,0.0
20230421:0930,228.38,311.72,25.63,29.81,2.41,0.0
20230421:1030,40.01,76.27,10.95,28.19,2.28,0.0
20230421:1130,0.0,0.0,-3.71,27.18,1.24,0.0
20230421:1230,0.0,0.0,0.0,26.37,1.31,0.0
20230421:1330,0.0,0.0,0.0,26.05,0.9,0.0
20230421:1430,0.0,0.0,0.0,25.72,0.76,0.0
20230421:1530,0.0,0.0,0.0,25.32,1.03,0.0
20230421:1630,0.0,0.0,0.0,25.15,0.97,0.0
20230421:1730,0.0,0.0,0.0,24.82,1.03,0.0
20230421:1830,0.0,0.0,0.0,24.62,1.03,0.0
20230421:1930,0.0,0.0,0.0,24.69,1.24,0.0
20230421:2030,0.0,0.0,0.0,24.79,0.9,0.0
20230421:2130,0.0,0.0,0.0,24.19,0.41,0.0
20230421:2230,0.0,0.0,0.0,23.95,0.83,0.0
20230421:2330,11.11,26.25,5.01,23.95,0.9,0.0
20230422:0030,99.94,145.68,19.73,24.08,0.48,0.0
20230422:0130,172.93,233.08,34.37,25.28,0.28,0.0
20230422:0230,345.51,451.61,48.93,25.94,0.48,0.0
20230422:0330,450.35,595.95,63.2,27.16,0.76,0.0
20230422:0430,475.01,630.76,76.23,28.13,1.24,0.0
20230422:0530,574.67,773.83,79.9,28.72,1.45,0.0
20230422:0630,614.0,821.05,68.67,29.61,2.14,0.0
20230422:0730,484.27,650.71,54.66,31.49,1.17,0.0
20230422:0830,383.98,507.71,40.18,31.03,1.86,0.0
20230422:0930,208.36,286.87,25.57,30.29,1.86,0.0
20230422:1030,42.99,83.06,10.91,29.02,1.38,0.0
20230422:1130,0.0,0.0,-3.74,28.26,1.17,0.0
20230422:1230,0.0,0.0,0.0,27.6,0.69,0.0
20230422:1330,0.0,0.0,0.0,26.25,0.97,0.0
20230422:1430,0.0,0.0,0.0,24.88,1.79,0.0
20230422:1530,0.0,0.0,0.0,24.73,0.97,0.0
20230422:1630,0.0,0.0,0.0,24.77,0.34,0.0
20230422:1730,0.0,0.0,0.0,24.71,0.0,0.0
20230422:1830,0.0,0.0,0.0,24.52,0.41,0.0
20230422:1930,0.0,0.0,0.0,25.32,0.62,0.0
20230422:2030,0.0,0.0,0.0,25.09,0.76,0.0
20230422:2130,0.0,0.0,0.0,24.83,0.9,0.0
20230422:2230,0.0,0.0,0.0,24.78,0.9,0.0
20230422:2330,7.35,20.35,5.07,24.64,1.03,0.0
20230423:0030,84.52,125.93,19.78,25.33,1.38,0.0
20230423:0130,225.17,297.71,34.4,26.43,1.31,0.0
20230423:0230,342.21,447.01,48.92,27.53,1.66,0.0
20230423:0330,473.3,622.79,63.14,28.58,1.86,0.0
20230423:0430,521.3,702.05,76.05,29.43,1.38,0.0
20230423:0530,471.23,631.61,79.58,30.14,1.52,0.0
20230423:0630,594.26,797.87,68.49,29.7,2.07,0.0
20230423:0730,303.01,402.71,54.54,31.4,1.52,0.0
20230423:0830,334.33,439.64,40.1,29.61,2.14,0.0
20230423:0930,126.24,178.93,25.5,29.31,1.79,0.0
20230423:1030,38.92,69.04,10.86,27.7,1.17,0.0
20230423:1130,0.0,0.0,-3.76,26.73,0.34,0.0
20230423:1230,0.0,0.0,0.0,26.19,1.24,0.0
20230423:1330,0.0,0.0,0.0,25.69,1.52,0.0
20230423:1430,0.0,0.0,0.0,25.54,1.17,0.0
20230423:1530,0.0,0.0,0.0,25.25,0.69,0.0
20230423:1630,0.0,0.0,0.0,25.01,0.07,0.0
20230423:1730,0.0,0.0,0.0,24.71,0.41,0.0
20230423:1830,0.0,0.0,0.0,24.8,0.76,0.0
20230423:1930,0.0,0.0,0.0,25.02,0.83,0.0
20230423:2030,0.0,0.0,0.0,24.97,0.9,0.0
20230423:2130,0.0,0.0,0.0,24.9,1.1,0.0
20230423:2230,0.0,0.0,0.0,24.83,1.45,0.0
20230423:2330,13.74,30.3,5.14,24.77,1.45,0.0
20230424:0030,138.52,194.62,19.82,25.33,1.24,0.0
20230424:0130,311.89,411.39,34.42,27.03,0.9,0.0
20230424:0230,458.99,609.62,48.91,28.68,0.97,0.0
20230424:0330,518.0,703.42,63.08,29.84,0.55,0.0
20230424:0430,480.74,655.84,75.86,30.85,0.14,0.0
20230424:0530,507.06,692.28,79.26,31.01,0.28,0.0
20230424:0630,604.41,834.99,68.31,30.15,0.48,0.0
20230424:0730,528.49,721.14,54.43,32.32,0.97,0.0
20230424:0830,400.52,537.44,40.01,31.69,0.9,0.0
20230424:0930,181.19,252.68,25.44,30.18,0.97,0.0
20230424:1030,42.24,83.0,10.82,29.14,1.17,0.0
20230424:1130,0.0,0.0,-3.79,27.8,1.03,0.0
20230424:1230,0.0,0.0,0.0,26.52,0.9,0.0
20230424:1330,0.0,0.0,0.0,25.9,1.17,0.0
20230424:1430,0.0,0.0,0.0,25.68,1.17,0.0
20230424:1530,0.0,0.0,0.0,25.46,0.9,0.0
20230424:1630,0.0,0.0,0.0,25.07,0.9,0.0
20230424:1730,0.0,0.0,0.0,24.8,1.03,0.0
20230424:1830,0.0,0.0,0.0,24.72,1.17,0.0
20230424:1930,0.0,0.0,0.0,24.68,1.45,0.0
20230424:2030,0.0,0.0,0.0,24.28,1.03,0.0
20230424:2130,0.0,0.0,0.0,24.0,0.41,0.0
20230424:2230,0.0,0.0,0.0,23.64,0.69,0.0
20230424:2330,13.44,29.7,5.2,23.42,1.24,0.0
20230425:0030,175.85,245.93,19.85,24.2,0.9,0.0
20230425:0130,335.83,441.22,34.43,26.32,0.83,0.0
20230425:0230,446.86,590.28,48.9,27.59,1.03,0.0
20230425:0330,521.64,704.33,63.02,28.83,0.69,0.0
20230425:0430,553.51,744.02,75.67,29.58,1.38,0.0
20230425:0530,511.15,676.48,78.95,30.12,2.14,0.0
20230425:0630,566.53,752.72,68.12,28.18,2.07,0.0
20230425:0730,483.76,646.91,54.31,30.98,1.52,0.0
20230425:0830,352.52,463.21,39.93,29.47,1.72,0.0
20230425:0930,175.08,241.5,25.38,28.93,1.79,0.0
20230425:1030,30.22,60.18,10.78,28.18,0.62,0.0
20230425:1130,0.0,0.0,-3.81,27.24,0.69,0.0
20230425:1230,0.0,0.0,0.0,26.42,0.55,0.0
20230425:1330,0.0,0.0,0.0,26.06,0.55,0.0
20230425:1430,0.0,0.0,0.0,25.57,0.97,0.0
20230425:1530,0.0,0.0,0.0,25.34,0.9,0.0
20230425:1630,0.0,0.0,0.0,25.17,0.76,0.0
20230425:1730,0.0,0.0,0.0,24.92,0.62,0.0
20230425:1830,0.0,0.0,0.0,24.62,0.97,0.0
20230425:1930,0.0,0.0,0.0,24.17,0.97,0.0
20230425:2030,0.0,0.0,0.0,23.88,1.03,0.0
20230425:2130,0.0,0.0,0.0,23.63,1.1,0.0
20230425:2230,0.0,0.0,0.0,23.48,1.1,0.0
20230425:2330,15.73,33.05,5.25,23.32,1.1,0.0
20230426:0030,154.93,216.55,19.89,24.07,0.9,0.0
20230426:0130,330.49,435.98,34.44,26.53,0.76,0.0
20230426:0230,492.39,663.41,48.88,28.22,0.41,0.0
20230426:0330,539.26,742.77,62.95,29.59,0.21,0.0
20230426:0430,542.61,742.77,75.48,30.24,0.55,0.0
20230426:0530,544.56,741.78,78.64,30.86,1.03,0.0
20230426:0630,584.41,794.4,67.94,30.83,1.31,0.0
20230426:0730,542.66,734.88,54.19,31.6,1.38,0.0
20230426:0830,433.34,576.07,39.84,31.54,1.93,0.0
20230426:0930,243.45,333.09,25.32,30.65,2.69,0.0
20230426:1030,61.53,115.97,10.74,29.08,2.28,0.0
20230426:1130,0.0,0.0,-3.83,27.77,1.1,0.0
20230426:1230,0.0,0.0,0.0,26.68,1.1,0.0
20230426:1330,0.0,0.0,0.0,25.9,0.83,0.0
20230426:1430,0.0,0.0,0.0,25.51,0.9,0.0
20230426:1530,0.0,0.0,0.0,25.41,1.1,0.0
20230426:1630,0.0,0.0,0.0,25.19,1.24,0.0
20230426:1730,0.0,0.0,0.0,24.87,1.31,0.0
20230426:1830,0.0,0.0,0.0,24.45,1.17,0.0
20230426:1930,0.0,0.0,0.0,24.94,1.31,0.0
20230426:2030,0.0,0.0,0.0,25.14,0.76,0.0
20230426:2130,0.0,0.0,0.0,25.05,0.97,0.0
20230426:2230,0.0,0.0,0.0,25.03,1.45,0.0
20230426:2330,15.5,32.9,5.31,24.92,1.52,0.0
20230427:0030,117.21,167.02,19.92,25.32,1.31,0.0
20230427:0130,250.03,330.82,34.45,26.73,1.24,0.0
20230427:0230,353.81,467.01,48.86,27.94,1.1,0.0
20230427:0330,447.83,597.2,62.87,29.05,1.24,0.0
20230427:0430,500.65,674.99,75.28,29.7,0.97,0.0
20230427:0530,548.35,753.87,78.33,30.45,0.55,0.0
20230427:0630,526.94,719.91,67.76,31.23,0.62,0.0
20230427:0730,509.65,698.74,54.07,32.05,0.55,0.0
20230427:0830,319.09,425.47,39.76,30.84,0.9,0.0
20230427:0930,142.04,199.21,25.26,28.57,1.38,0.0
20230427:1030,38.78,70.38,10.7,27.51,0.76,0.0
20230427:1130,0.0,0.0,-3.85,27.12,0.83,0.0
20230427:1230,0.0,0.0,0.0,26.39,0.48,0.0
20230427:1330,0.0,0.0,0.0,25.96,0.48,0.0
20230427:1430,0.0,0.0,0.0,25.66,0.62,0.0
20230427:1530,0.0,0.0,0.0,25.39,0.69,0.0
20230427:1630,0.0,0.0,0.0,24.99,0.97,0.0
20230427:1730,0.0,0.0,0.0,24.75,0.76,0.0
20230427:1830,0.0,0.0,0.0,24.45,0.76,0.0
20230427:1930,0.0,0.0,0.0,24.59,0.69,0.0
20230427:2030,0.0,0.0,0.0,24.41,0.97,0.0
20230427:2130,0.0,0.0,0.0,24.42,0.83,0.0
20230427:2230,0.0,0.0,0.0,24.19,0.83,0.0
20230427:2330,15.74,33.15,5.36,23.96,0.97,0.0
20230428:0030,160.45,224.79,19.95,24.66,0.41,0.0
20230428:0130,322.41,427.62,34.46,26.74,0.21,0.0
20230428:0230,472.04,628.16,48.83,27.9,0.76,0.0
20230428:0330,479.68,636.83,62.8,28.96,1.24,0.0
20230428:0430,651.02,880.55,75.08,29.29,2.07,0.0
20230428:0530,526.04,700.14,78.02,29.93,2.34,0.0
20230428:0630,499.88,657.68,67.58,28.41,2.07,0.0
20230428:0730,361.42,470.84,53.96,28.79,2.14,0.0
20230428:0830,274.09,362.8,39.68,28.9,1.38,0.0
20230428:0930,114.02,162.59,25.21,28.46,1.52,0.0
20230428:1030,22.22,44.04,10.67,26.86,0.76,0.0
20230428:1130,0.0,0.0,-3.86,26.19,0.48,0.0
20230428:1230,0.0,0.0,0.0,25.68,0.97,0.0
20230428:1330,0.0,0.0,0.0,25.4,1.31,0.0
20230428:1430,0.0,0.0,0.0,25.09,1.1,0.0
20230428:1530,0.0,0.0,0.0,24.94,0.97,0.0
20230428:1630,0.0,0.0,0.0,24.64,1.03,0.0
20230428:1730,0.0,0.0,0.0,24.31,1.03,0.0
20230428:1830,0.0,0.0,0.0,24.03,1.03,0.0
20230428:1930,0.0,0.0,0.0,24.44,0.97,0.0
20230428:2030,0.0,0.0,0.0,24.53,0.48,0.0
20230428:2130,0.0,0.0,0.0,24.44,0.83,0.0
20230428:2230,0.0,0.0,0.0,24.5,0.55,0.0
20230428:2330,2.34,11.35,5.41,24.49,0.62,0.0
20230429:0030,67.91,103.39,19.98,24.62,0.62,0.0
20230429:0130,150.96,204.88,34.46,25.37,1.03,0.0
20230429:0230,293.19,381.31,48.81,26.21,1.03,0.0
20230429:0330,426.52,561.99,62.71,27.11,0.83,0.0
20230429:0430,447.07,597.41,74.87,27.75,0.69,0.0
20230429:0530,379.14,501.57,77.72,28.39,1.31,0.0
20230429:0630,448.46,590.95,67.41,28.25,1.86,0.0
20230429:0730,339.07,443.66,53.84,28.96,2.9,0.0
20230429:0830,160.55,218.99,39.6,27.88,1.66,0.0
20230429:0930,67.96,103.1,25.15,26.67,1.1,0.0
20230429:1030,9.72,24.65,10.63,26.24,0.55,0.0
20230429:1130,0.0,0.0,-3.87,26.07,0.83,0.0
20230429:1230,0.0,0.0,0.0,25.91,0.55,0.0
20230429:1330,0.0,0.0,0.0,25.66,0.9,0.0
20230429:1430,0.0,0.0,0.0,25.55,1.1,0.0
20230429:1530,0.0,0.0,0.0,25.38,1.24,0.0
20230429:1630,0.0,0.0,0.0,25.1,1.31,0.0
20230429:1730,0.0,0.0,0.0,24.9,1.38,0.0
20230429:1830,0.0,0.0,0.0,24.67,1.24,0.0
20230429:1930,0.0,0.0,0.0,24.51,1.38,0.0
20230429:2030,0.0,0.0,0.0,24.36,1.31,0.0
20230429:2130,0.0,0.0,0.0,24.09,1.31,0.0
20230429:2230,0.0,0.0,0.0,23.85,1.38,0.0
20230429:2330,8.82,22.65,5.46,23.64,1.24,0.0
20230430:0030,132.95,190.0,20.0,24.49,0.69,0.0
20230430:0130,271.5,357.38,34.46,26.19,0.62,0.0
20230430:0230,422.14,554.67,48.77,27.34,1.03,0.0
20230430:0330,428.5,562.99,62.63,28.33,1.59,0.0
20230430:0430,564.64,751.81,74.67,28.83,1.93,0.0
20230430:0530,478.94,629.79,77.42,29.34,2.41,0.0
20230430:0630,397.95,523.01,67.23,28.28,2.0,0.0
20230430:0730,239.09,318.49,53.73,28.0,1.1,0.0
20230430:0830,139.85,193.64,39.52,28.07,1.38,0.0
20230430:0930,103.5,148.55,25.1,27.61,0.69,0.0
20230430:1030,27.54,50.85,10.6,27.48,0.41,0.0
20230430:1130,0.0,0.0,-3.89,26.69,0.9,0.0
20230430:1230,0.0,0.0,0.0,26.18,1.24,0.0
20230430:1330,0.0,0.0,0.0,25.95,0.97,0.0
20230430:1430,0.0,0.0,0.0,25.56,1.17,0.0
20230430:1530,0.0,0.0,0.0,25.14,1.03,0.0
20230430:1630,0.0,0.0,0.0,24.73,1.17,0.0
20230430:1730,0.0,0.0,0.0,24.56,1.38,0.0
20230430:1830,0.0,0.0,0.0,24.41,1.31,0.0
20230430:1930,0.0,0.0,0.0,24.36,0.97,0.0
20230430:2030,0.0,0.0,0.0,24.1,1.1,0.0
20230430:2130,0.0,0.0,0.0,23.87,1.1,0.0
20230430:2230,0.0,0.0,0.0,23.85,1.31,0.0
20230430:2330,11.09,26.2,5.5,23.8,1.52,0.0
20230501:0030,182.85,256.06,20.02,24.72,1.17,0.0
20230501:0130,336.25,442.56,34.46,27.1,1.03,0.0
20230501:0230,530.94,710.02,48.74,28.57,1.03,0.0
20230501:0330,594.48,808.73,62.54,29.93,1.1,0.0
20230501:0430,573.55,775.0,74.46,30.91,1.52,0.0
20230501:0530,596.09,818.39,77.13,31.47,1.24,0.0
20230501:0630,504.84,688.26,67.05,31.74,0.76,0.0
20230501:0730,473.64,647.55,53.62,32.07,0.48,0.0
20230501:0830,360.59,488.29,39.45,31.91,0.21,0.0
20230501:0930,214.23,300.25,25.05,31.37,0.07,0.0
20230501:1030,53.08,100.88,10.57,30.41,1.03,0.0
20230501:1130,0.0,0.0,-3.9,28.76,2.14,0.0
20230501:1230,0.0,0.0,0.0,27.52,0.9,0.0
20230501:1330,0.0,0.0,0.0,27.04,0.55,0.0
20230501:1430,0.0,0.0,0.0,26.51,0.76,0.0
20230501:1530,0.0,0.0,0.0,26.05,0.76,0.0
20230501:1630,0.0,0.0,0.0,25.51,1.03,0.0
20230501:1730,0.0,0.0,0.0,25.15,1.03,0.0
20230501:1830,0.0,0.0,0.0,24.77,1.03,0.0
20230501:1930,0.0,0.0,0.0,24.78,1.1,0.0
20230501:2030,0.0,0.0,0.0,24.5,1.1,0.0
20230501:2130,0.0,0.0,0.0,24.15,1.38,0.0
20230501:2230,0.0,0.0,0.0,23.83,1.38,0.0
20230501:2330,9.49,23.7,5.54,23.6,1.45,0.0
20230502:0030,186.25,262.34,20.04,24.51,1.17,0.0
20230502:0130,372.76,492.62,34.46,27.14,0.62,0.0
20230502:0230,528.98,713.46,48.7,28.81,0.55,0.0
20230502:0330,535.77,723.54,62.45,29.95,0.83,0.0
20230502:0430,566.62,775.24,74.25,30.54,0.62,0.0
20230502:0530,562.94,778.04,76.84,31.45,0.41,0.0
20230502:0630,536.68,736.53,66.88,31.81,0.48,0.0
20230502:0730,520.45,703.92,53.51,31.96,1.31,0.0
20230502:0830,303.14,401.36,39.37,31.18,1.86,0.0
20230502:0930,170.26,237.09,25.0,28.96,0.55,0.0
20230502:1030,15.72,33.7,10.54,28.52,1.03,0.0
20230502:1130,0.0,0.0,-3.9,27.39,0.41,0.0
20230502:1230,0.0,0.0,0.0,26.81,0.69,0.0
20230502:1330,0.0,0.0,0.0,26.33,1.03,0.0
20230502:1430,0.0,0.0,0.0,26.0,0.9,0.0
20230502:1530,0.0,0.0,0.0,25.63,0.97,0.0
20230502:1630,0.0,0.0,0.0,25.58,0.62,0.0
20230502:1730,0.0,0.0,0.0,25.36,0.21,0.0
20230502:1830,0.0,0.0,0.0,25.01,0.69,0.0
20230502:1930,0.0,0.0,0.0,24.93,1.1,0.0
20230502:2030,0.0,0.0,0.0,24.88,0.41,0.0
20230502:2130,0.0,0.0,0.0,24.88,0.34,0.0
20230502:2230,0.0,0.0,0.0,24.91,0.62,0.0
20230502:2330,12.04,27.75,5.58,24.74,0.83,0.0
20230503:0030,156.11,220.78,20.06,25.35,0.21,0.0
20230503:0130,346.21,459.94,34.45,26.82,0.07,0.0
20230503:0230,472.7,635.64,48.66,28.05,0.07,0.0
20230503:0330,531.29,722.44,62.35,29.16,0.28,0.0
20230503:0430,520.87,705.96,74.04,30.28,0.83,0.0
20230503:0530,481.46,641.92,76.56,30.75,1.59,0.0
20230503:0630,646.16,876.96,66.7,29.42,1.59,0.0
20230503:0730,465.37,617.09,53.4,31.4,2.0,0.0
20230503:0830,343.02,449.74,39.3,30.53,2.55,0.0
20230503:0930,180.16,248.97,24.95,28.85,1.79,0.0
20230503:1030,46.01,84.66,10.52,28.7,1.17,0.0
20230503:1130,0.0,0.0,-3.91,27.77,0.76,0.0
20230503:1230,0.0,0.0,0.0,27.0,0.69,0.0
20230503:1330,0.0,0.0,0.0,26.13,0.69,0.0
20230503:1430,0.0,0.0,0.0,25.6,0.69,0.0
20230503:1530,0.0,0.0,0.0,25.61,0.83,0.0
20230503:1630,0.0,0.0,0.0,25.24,1.1,0.0
20230503:1730,0.0,0.0,0.0,25.17,1.31,0.0
20230503:1830,0.0,0.0,0.0,24.94,1.31,0.0
20230503:1930,0.0,0.0,0.0,24.94,0.76,0.0
20230503:2030,0.0,0.0,0.0,24.64,0.62,0.0
20230503:2130,0.0,0.0,0.0,24.61,0.76,0.0
20230503:2230,0.0,0.0,0.0,24.51,1.24,0.0
20230503:2330,13.77,30.3,5.62,24.37,1.31,0.0
20230504:0030,162.8,229.07,20.07,25.1,0.9,0.0
20230504:0130,317.53,419.51,34.44,26.9,0.55,0.0
20230504:0230,466.14,620.34,48.62,28.24,0.69,0.0
20230504:0330,502.84,669.9,62.25,29.32,1.1,0.0
20230504:0430,603.39,818.53,73.83,29.92,1.38,0.0
20230504:0530,631.93,859.17,76.28,30.48,1.66,0.0
20230504:0630,608.41,820.26,66.53,30.91,2.0,0.0
20230504:0730,518.23,694.07,53.29,30.88,1.52,0.0
20230504:0830,390.31,515.82,39.23,30.59,1.86,0.0
20230504:0930,209.86,289.7,24.91,29.82,1.31,0.0
20230504:1030,44.87,85.85,10.5,29.58,0.69,0.0
20230504:1130,0.0,0.0,-3.91,28.93,1.38,0.0
20230504:1230,0.0,0.0,0.0,28.01,1.24,0.0
20230504:1330,0.0,0.0,0.0,27.16,0.76,0.0
20230504:1430,0.0,0.0,0.0,26.41,1.31,0.0
20230504:1530,0.0,0.0,0.0,25.67,1.52,0.0
20230504:1630,0.0,0.0,0.0,25.25,1.03,0.0
20230504:1730,0.0,0.0,0.0,25.04,0.83,0.0
20230504:1830,0.0,0.0,0.0,24.67,0.97,0.0
20230504:1930,0.0,0.0,0.0,24.85,0.28,0.0
20230504:2030,0.0,0.0,0.0,24.71,0.48,0.0
20230504:2130,0.0,0.0,0.0,24.54,0.69,0.0
20230504:2230,0.0,0.0,0.0,24.47,0.62,0.0
20230504:2330,12.24,28.0,5.65,24.28,0.55,0.0
20230505:0030,160.87,228.02,20.08,25.08,0.48,0.0
20230505:0130,319.16,421.15,34.42,26.47,0.34,0.0
20230505:0230,436.06,568.15,48.57,27.47,1.59,0.0
20230505:0330,496.53,654.27,62.15,28.51,2.0,0.0
20230505:0430,511.76,677.73,73.62,29.02,2.14,0.0
20230505:0530,490.47,644.89,76.0,28.31,2.34,0.0
20230505:0630,540.96,708.05,66.37,28.13,2.62,0.0
20230505:0730,472.46,620.04,53.18,30.11,2.69,0.0
20230505:0830,371.69,485.28,39.16,30.02,3.03,0.0
20230505:0930,207.11,284.44,24.86,29.67,3.17,0.0
20230505:1030,53.2,100.18,10.47,28.79,2.97,0.0
20230505:1130,0.0,0.0,-3.91,27.5,2.14,0.0
20230505:1230,0.0,0.0,0.0,26.54,1.38,0.0
20230505:1330,0.0,0.0,0.0,26.13,0.97,0.0
20230505:1430,0.0,0.0,0.0,25.76,0.76,0.0
20230505:1530,0.0,0.0,0.0,25.52,0.48,0.0
20230505:1630,0.0,0.0,0.0,25.35,0.48,0.0
20230505:1730,0.0,0.0,0.0,25.18,0.28,0.0
20230505:1830,0.0,0.0,0.0,25.0,0.55,0.0
20230505:1930,0.0,0.0,0.0,25.92,0.14,0.0
20230505:2030,0.0,0.0,0.0,25.57,0.41,0.0
20230505:2130,0.0,0.0,0.0,25.5,1.24,0.0
20230505:2230,0.0,0.0,0.0,25.17,1.1,0.0
20230505:2330,9.09,23.2,5.68,25.12,0.76,0.0
20230506:0030,96.8,141.72,20.09,25.63,0.83,0.0
20230506:0130,185.39,248.42,34.4,26.6,1.24,0.0
20230506:0230,288.77,379.06,48.52,27.53,1.24,0.0
20230506:0330,339.22,445.21,62.05,28.29,1.45,0.0
20230506:0430,476.28,630.59,73.41,28.81,1.79,0.0
20230506:0530,494.23,651.89,75.73,29.21,2.69,0.0
20230506:0630,552.15,721.09,66.2,28.31,3.1,0.0
20230506:0730,437.75,569.65,53.08,29.92,3.24,0.0
20230506:0830,327.5,429.87,39.09,29.66,2.97,0.0
20230506:0930,201.41,275.17,24.82,29.43,3.1,0.0
20230506:1030,48.13,88.6,10.45,28.96,2.62,0.0
20230506:1130,0.0,0.0,-3.91,27.7,2.14,0.0
20230506:1230,0.0,0.0,0.0,26.47,1.86,0.0
20230506:1330,0.0,0.0,0.0,25.93,1.03,0.0
20230506:1430,0.0,0.0,0.0,25.57,0.83,0.0
20230506:1530,0.0,0.0,0.0,25.07,0.76,0.0
20230506:1630,0.0,0.0,0.0,24.99,0.55,0.0
20230506:1730,0.0,0.0,0.0,24.41,0.34,0.0
20230506:1830,0.0,0.0,0.0,24.31,0.62,0.0
20230506:1930,0.0,0.0,0.0,24.48,0.55,0.0
20230506:2030,0.0,0.0,0.0,24.4,0.83,0.0
20230506:2130,0.0,0.0,0.0,24.47,0.83,0.0
20230506:2230,0.0,0.0,0.0,24.53,0.97,0.0
20230506:2330,6.34,18.65,5.71,24.35,1.03,0.0
20230507:0030,89.61,131.43,20.09,24.67,0.9,0.0
20230507:0130,201.47,268.97,34.38,25.66,0.62,0.0
20230507:0230,263.33,347.12,48.47,26.55,0.83,0.0
20230507:0330,313.91,410.86,61.94,27.3,1.31,0.0
20230507:0430,442.49,580.44,73.2,28.02,1.79,0.0
